cai_max = 9.751300e-01, cai_max_time = 3.874628e-02
current time 8.016968e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070304e-01
current time 8.017273e-01; cai_current: 1.070300e-01; cai_next: 1.070304e-01; cai_current_2dt 1.070339e-01
current time 8.017578e-01; cai_current: 1.070304e-01; cai_next: 1.070339e-01; cai_current_2dt 1.070374e-01
current time 8.017883e-01; cai_current: 1.070339e-01; cai_next: 1.070374e-01; cai_current_2dt 1.070400e-01
current time 8.018188e-01; cai_current: 1.070374e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.018494e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.018799e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.019104e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.019409e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.019714e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.020020e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.020325e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.020630e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.020935e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.021240e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.021545e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.021851e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.022156e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.022461e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.022766e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.023071e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.023376e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.023682e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.023987e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.024292e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.024597e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.024902e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070400e-01
current time 8.025208e-01; cai_current: 1.070400e-01; cai_next: 1.070400e-01; cai_current_2dt 1.070465e-01
current time 8.025513e-01; cai_current: 1.070400e-01; cai_next: 1.070465e-01; cai_current_2dt 1.070500e-01
current time 8.025818e-01; cai_current: 1.070465e-01; cai_next: 1.070500e-01; cai_current_2dt 1.070500e-01
current time 8.026123e-01; cai_current: 1.070500e-01; cai_next: 1.070500e-01; cai_current_2dt 1.070500e-01
current time 8.026428e-01; cai_current: 1.070500e-01; cai_next: 1.070500e-01; cai_current_2dt 1.070500e-01
current time 8.026733e-01; cai_current: 1.070500e-01; cai_next: 1.070500e-01; cai_current_2dt 1.070500e-01
current time 8.027039e-01; cai_current: 1.070500e-01; cai_next: 1.070500e-01; cai_current_2dt 1.070500e-01
current time 8.027344e-01; cai_current: 1.070500e-01; cai_next: 1.070500e-01; cai_current_2dt 1.070500e-01
current time 8.027649e-01; cai_current: 1.070500e-01; cai_next: 1.070500e-01; cai_current_2dt 1.070500e-01
current time 8.027954e-01; cai_current: 1.070500e-01; cai_next: 1.070500e-01; cai_current_2dt 1.070500e-01
current time 8.028259e-01; cai_current: 1.070500e-01; cai_next: 1.070500e-01; cai_current_2dt 1.070539e-01
current time 8.028564e-01; cai_current: 1.070500e-01; cai_next: 1.070539e-01; cai_current_2dt 1.070600e-01
current time 8.028870e-01; cai_current: 1.070539e-01; cai_next: 1.070600e-01; cai_current_2dt 1.070600e-01
current time 8.029175e-01; cai_current: 1.070600e-01; cai_next: 1.070600e-01; cai_current_2dt 1.070600e-01
current time 8.029480e-01; cai_current: 1.070600e-01; cai_next: 1.070600e-01; cai_current_2dt 1.070600e-01
current time 8.029785e-01; cai_current: 1.070600e-01; cai_next: 1.070600e-01; cai_current_2dt 1.070700e-01
current time 8.030090e-01; cai_current: 1.070600e-01; cai_next: 1.070700e-01; cai_current_2dt 1.070700e-01
current time 8.030396e-01; cai_current: 1.070700e-01; cai_next: 1.070700e-01; cai_current_2dt 1.070800e-01
current time 8.030701e-01; cai_current: 1.070700e-01; cai_next: 1.070800e-01; cai_current_2dt 1.070900e-01
current time 8.031006e-01; cai_current: 1.070800e-01; cai_next: 1.070900e-01; cai_current_2dt 1.071052e-01
current time 8.031311e-01; cai_current: 1.070900e-01; cai_next: 1.071052e-01; cai_current_2dt 1.071300e-01
current time 8.031616e-01; cai_current: 1.071052e-01; cai_next: 1.071300e-01; cai_current_2dt 1.071500e-01
current time 8.031921e-01; cai_current: 1.071300e-01; cai_next: 1.071500e-01; cai_current_2dt 1.071779e-01
current time 8.032227e-01; cai_current: 1.071500e-01; cai_next: 1.071779e-01; cai_current_2dt 1.071960e-01
current time 8.032532e-01; cai_current: 1.071779e-01; cai_next: 1.071960e-01; cai_current_2dt 1.072265e-01
current time 8.032837e-01; cai_current: 1.071960e-01; cai_next: 1.072265e-01; cai_current_2dt 1.072554e-01
current time 8.033142e-01; cai_current: 1.072265e-01; cai_next: 1.072554e-01; cai_current_2dt 1.072775e-01
current time 8.033447e-01; cai_current: 1.072554e-01; cai_next: 1.072775e-01; cai_current_2dt 1.073096e-01
current time 8.033752e-01; cai_current: 1.072775e-01; cai_next: 1.073096e-01; cai_current_2dt 1.073332e-01
current time 8.034058e-01; cai_current: 1.073096e-01; cai_next: 1.073332e-01; cai_current_2dt 1.073569e-01
current time 8.034363e-01; cai_current: 1.073332e-01; cai_next: 1.073569e-01; cai_current_2dt 1.073903e-01
current time 8.034668e-01; cai_current: 1.073569e-01; cai_next: 1.073903e-01; cai_current_2dt 1.074144e-01
current time 8.034973e-01; cai_current: 1.073903e-01; cai_next: 1.074144e-01; cai_current_2dt 1.074371e-01
current time 8.035278e-01; cai_current: 1.074144e-01; cai_next: 1.074371e-01; cai_current_2dt 1.074696e-01
current time 8.035583e-01; cai_current: 1.074371e-01; cai_next: 1.074696e-01; cai_current_2dt 1.074921e-01
current time 8.035889e-01; cai_current: 1.074696e-01; cai_next: 1.074921e-01; cai_current_2dt 1.075223e-01
current time 8.036194e-01; cai_current: 1.074921e-01; cai_next: 1.075223e-01; cai_current_2dt 1.075490e-01
current time 8.036499e-01; cai_current: 1.075223e-01; cai_next: 1.075490e-01; cai_current_2dt 1.075767e-01
current time 8.036804e-01; cai_current: 1.075490e-01; cai_next: 1.075767e-01; cai_current_2dt 1.076008e-01
current time 8.037109e-01; cai_current: 1.075767e-01; cai_next: 1.076008e-01; cai_current_2dt 1.076248e-01
current time 8.037415e-01; cai_current: 1.076008e-01; cai_next: 1.076248e-01; cai_current_2dt 1.076534e-01
current time 8.037720e-01; cai_current: 1.076248e-01; cai_next: 1.076534e-01; cai_current_2dt 1.076830e-01
current time 8.038025e-01; cai_current: 1.076534e-01; cai_next: 1.076830e-01; cai_current_2dt 1.077074e-01
current time 8.038330e-01; cai_current: 1.076830e-01; cai_next: 1.077074e-01; cai_current_2dt 1.077319e-01
current time 8.038635e-01; cai_current: 1.077074e-01; cai_next: 1.077319e-01; cai_current_2dt 1.077564e-01
current time 8.038940e-01; cai_current: 1.077319e-01; cai_next: 1.077564e-01; cai_current_2dt 1.077813e-01
current time 8.039246e-01; cai_current: 1.077564e-01; cai_next: 1.077813e-01; cai_current_2dt 1.078140e-01
current time 8.039551e-01; cai_current: 1.077813e-01; cai_next: 1.078140e-01; cai_current_2dt 1.078401e-01
current time 8.039856e-01; cai_current: 1.078140e-01; cai_next: 1.078401e-01; cai_current_2dt 1.078646e-01
current time 8.040161e-01; cai_current: 1.078401e-01; cai_next: 1.078646e-01; cai_current_2dt 1.078891e-01
current time 8.040466e-01; cai_current: 1.078646e-01; cai_next: 1.078891e-01; cai_current_2dt 1.079143e-01
current time 8.040771e-01; cai_current: 1.078891e-01; cai_next: 1.079143e-01; cai_current_2dt 1.079432e-01
current time 8.041077e-01; cai_current: 1.079143e-01; cai_next: 1.079432e-01; cai_current_2dt 1.079666e-01
current time 8.041382e-01; cai_current: 1.079432e-01; cai_next: 1.079666e-01; cai_current_2dt 1.079910e-01
current time 8.041687e-01; cai_current: 1.079666e-01; cai_next: 1.079910e-01; cai_current_2dt 1.080199e-01
current time 8.041992e-01; cai_current: 1.079910e-01; cai_next: 1.080199e-01; cai_current_2dt 1.080416e-01
